ts,memory_used_mib,memory_free_mib,utilization_gpu_pct,power_w,temperature_c,error
1786934940.4189026,3.0,24213.0,69.0,242.09,67.0,
1786934941.4393468,394.0,23823.0,0.0,82.85,66.0,
1786934942.46027,394.0,23823.0,0.0,77.12,65.0,
1786934943.481874,16796.0,7421.0,96.0,68.72,64.0,
1786934944.5046291,16796.0,7421.0,96.0,84.38,64.0,
1786934945.5274432,17958.0,6259.0,0.0,82.63,66.0,
1786934946.5511844,18394.0,5823.0,0.0,92.71,63.0,
1786934947.5744255,18416.0,5801.0,60.0,143.05,70.0,
1786934948.5976157,18416.0,5801.0,80.0,326.22,73.0,
1786934949.623337,18416.0,5801.0,82.0,335.89,71.0,
1786934950.6505346,18416.0,5801.0,81.0,326.9,72.0,
1786934951.6707473,18416.0,5801.0,78.0,331.07,74.0,
1786934952.693019,18418.0,5799.0,20.0,283.4,71.0,
1786934953.7159755,18420.0,5797.0,88.0,301.38,73.0,
1786934954.7359247,18420.0,5797.0,83.0,338.38,71.0,
1786934955.7558317,18420.0,5797.0,83.0,328.51,73.0,
1786934956.7745187,18420.0,5797.0,84.0,334.32,74.0,
1786934957.7942734,18420.0,5797.0,84.0,332.78,73.0,
1786934958.8146844,18420.0,5797.0,86.0,339.42,74.0,
1786934959.834527,18420.0,5797.0,77.0,334.88,72.0,
1786934960.854235,18420.0,5797.0,84.0,328.42,73.0,
1786934961.869408,18420.0,5797.0,84.0,340.63,74.0,
1786934962.8880382,18420.0,5797.0,86.0,346.51,75.0,
1786934963.9078646,18420.0,5797.0,89.0,347.26,74.0,
1786934964.9269536,18420.0,5797.0,83.0,346.42,74.0,
1786934965.9467506,18420.0,5797.0,84.0,358.07,73.0,
1786934966.9667244,18420.0,5797.0,84.0,341.17,75.0,
1786934967.9866009,18420.0,5797.0,81.0,351.38,74.0,
1786934969.0068188,18420.0,5797.0,80.0,344.97,74.0,
1786934970.0268607,18420.0,5797.0,83.0,350.66,75.0,
1786934971.0468762,18420.0,5797.0,79.0,349.61,75.0,
1786934972.0902421,18424.0,5793.0,61.0,271.72,72.0,
1786934973.110942,18424.0,5793.0,91.0,336.42,74.0,
1786934974.1314273,18424.0,5793.0,84.0,332.92,73.0,
1786934975.1509316,18424.0,5793.0,82.0,335.59,74.0,
1786934976.1713088,18424.0,5793.0,87.0,338.72,74.0,
1786934977.1915834,18424.0,5793.0,90.0,345.51,75.0,
1786934978.2116547,18424.0,5793.0,92.0,363.63,74.0,
1786934979.231613,18424.0,5793.0,84.0,347.08,74.0,
1786934980.2516193,18424.0,5793.0,88.0,344.22,76.0,
1786934981.2715194,18424.0,5793.0,81.0,368.76,75.0,
1786934982.2915542,18424.0,5793.0,86.0,367.69,75.0,
1786934983.31166,18424.0,5793.0,92.0,379.86,76.0,
1786934984.3314679,18424.0,5793.0,88.0,358.49,76.0,
1786934985.3521807,18424.0,5793.0,73.0,340.08,75.0,
1786934986.3723931,18424.0,5793.0,88.0,353.0,75.0,
1786934987.3923156,18424.0,5793.0,82.0,343.29,75.0,
1786934988.4172783,18424.0,5793.0,83.0,364.49,76.0,
1786934989.4377446,18424.0,5793.0,86.0,351.12,75.0,
1786934990.4591897,18424.0,5793.0,79.0,359.22,72.0,
1786934991.4797392,18424.0,5793.0,90.0,350.82,75.0,
1786934992.4995859,18424.0,5793.0,84.0,348.38,75.0,
1786934993.5199354,18424.0,5793.0,88.0,373.6,76.0,
1786934994.5405874,18424.0,5793.0,89.0,371.26,77.0,
1786934995.5613298,18424.0,5793.0,79.0,370.85,77.0,
1786934996.5811336,18424.0,5793.0,87.0,360.02,75.0,
1786934997.6012447,18424.0,5793.0,89.0,366.53,77.0,
1786934998.6218498,18424.0,5793.0,80.0,374.92,75.0,
1786934999.6437337,18424.0,5793.0,83.0,359.94,74.0,
1786935000.6640308,18424.0,5793.0,87.0,352.89,75.0,
1786935001.6844022,18424.0,5793.0,87.0,361.12,77.0,
1786935002.7053168,18424.0,5793.0,91.0,369.0,76.0,
1786935003.7257364,18424.0,5793.0,88.0,364.43,76.0,
1786935004.752397,18424.0,5793.0,88.0,365.56,74.0,
1786935005.7737226,18424.0,5793.0,86.0,362.06,77.0,
1786935006.8010235,18424.0,5793.0,50.0,270.68,75.0,
1786935007.822248,18424.0,5793.0,89.0,294.5,75.0,
1786935008.8444433,18424.0,5793.0,82.0,342.76,75.0,
