2026/03/08 00:14:22.969, 94 %, 95 %, 17672 MiB, 24564 MiB, 358.13 W
2026/03/08 00:14:23.969, 94 %, 95 %, 17672 MiB, 24564 MiB, 357.93 W
2026/03/08 00:14:24.971, 0 %, 0 %, 17672 MiB, 24564 MiB, 263.05 W
2026/03/08 00:14:25.971, 11 %, 0 %, 17672 MiB, 24564 MiB, 137.50 W
2026/03/08 00:14:26.981, 94 %, 95 %, 17672 MiB, 24564 MiB, 354.88 W
2026/03/08 00:14:27.981, 94 %, 95 %, 17672 MiB, 24564 MiB, 350.73 W
2026/03/08 00:14:28.981, 94 %, 95 %, 17672 MiB, 24564 MiB, 353.23 W
2026/03/08 00:14:29.982, 94 %, 95 %, 17672 MiB, 24564 MiB, 353.22 W
2026/03/08 00:14:30.982, 94 %, 95 %, 17672 MiB, 24564 MiB, 353.37 W
2026/03/08 00:14:31.982, 94 %, 95 %, 17672 MiB, 24564 MiB, 353.71 W
2026/03/08 00:14:32.983, 94 %, 95 %, 17672 MiB, 24564 MiB, 351.55 W
2026/03/08 00:14:33.983, 94 %, 95 %, 17672 MiB, 24564 MiB, 354.44 W
2026/03/08 00:14:34.983, 94 %, 95 %, 17672 MiB, 24564 MiB, 354.34 W
2026/03/08 00:14:35.984, 94 %, 95 %, 17672 MiB, 24564 MiB, 354.52 W
2026/03/08 00:14:36.984, 94 %, 95 %, 17672 MiB, 24564 MiB, 354.98 W
2026/03/08 00:14:37.984, 94 %, 95 %, 17672 MiB, 24564 MiB, 355.64 W
2026/03/08 00:14:38.985, 94 %, 95 %, 17672 MiB, 24564 MiB, 353.69 W
2026/03/08 00:14:39.985, 94 %, 95 %, 17672 MiB, 24564 MiB, 355.84 W
2026/03/08 00:14:40.985, 94 %, 95 %, 17672 MiB, 24564 MiB, 356.04 W
2026/03/08 00:14:41.987, 94 %, 95 %, 17672 MiB, 24564 MiB, 356.94 W
2026/03/08 00:14:42.987, 94 %, 95 %, 17672 MiB, 24564 MiB, 356.88 W
2026/03/08 00:14:43.987, 94 %, 95 %, 17672 MiB, 24564 MiB, 356.99 W
2026/03/08 00:14:44.988, 94 %, 95 %, 17672 MiB, 24564 MiB, 354.89 W
2026/03/08 00:14:45.988, 36 %, 36 %, 17672 MiB, 24564 MiB, 327.35 W
2026/03/08 00:14:46.988, 0 %, 0 %, 17672 MiB, 24564 MiB, 75.84 W
2026/03/08 00:14:47.989, 94 %, 95 %, 17672 MiB, 24564 MiB, 302.06 W
2026/03/08 00:14:48.989, 94 %, 95 %, 17672 MiB, 24564 MiB, 355.17 W
2026/03/08 00:14:49.990, 94 %, 95 %, 17672 MiB, 24564 MiB, 355.62 W
2026/03/08 00:14:50.990, 94 %, 95 %, 17672 MiB, 24564 MiB, 353.60 W
2026/03/08 00:14:51.990, 94 %, 95 %, 17672 MiB, 24564 MiB, 356.04 W
2026/03/08 00:14:52.990, 94 %, 95 %, 17672 MiB, 24564 MiB, 356.48 W
2026/03/08 00:14:53.991, 94 %, 95 %, 17672 MiB, 24564 MiB, 356.79 W
2026/03/08 00:14:54.991, 94 %, 95 %, 17672 MiB, 24564 MiB, 356.66 W
2026/03/08 00:14:55.991, 90 %, 90 %, 17672 MiB, 24564 MiB, 354.30 W
2026/03/08 00:14:56.992, 94 %, 95 %, 17672 MiB, 24564 MiB, 356.91 W
2026/03/08 00:14:57.992, 94 %, 95 %, 17672 MiB, 24564 MiB, 357.57 W
2026/03/08 00:14:58.992, 94 %, 95 %, 17672 MiB, 24564 MiB, 357.61 W
2026/03/08 00:14:59.993, 94 %, 95 %, 17672 MiB, 24564 MiB, 357.67 W
2026/03/08 00:15:00.993, 94 %, 95 %, 17672 MiB, 24564 MiB, 357.77 W
2026/03/08 00:15:01.993, 94 %, 95 %, 17672 MiB, 24564 MiB, 355.30 W
2026/03/08 00:15:02.994, 94 %, 95 %, 17672 MiB, 24564 MiB, 358.61 W
2026/03/08 00:15:03.994, 94 %, 95 %, 17672 MiB, 24564 MiB, 358.70 W
2026/03/08 00:15:04.994, 94 %, 94 %, 17672 MiB, 24564 MiB, 358.30 W
2026/03/08 00:15:05.995, 0 %, 0 %, 17672 MiB, 24564 MiB, 306.05 W
2026/03/08 00:15:06.995, 48 %, 15 %, 17672 MiB, 24564 MiB, 102.76 W
2026/03/08 00:15:07.995, 94 %, 95 %, 17672 MiB, 24564 MiB, 364.31 W
2026/03/08 00:15:08.996, 94 %, 95 %, 17672 MiB, 24564 MiB, 361.03 W
2026/03/08 00:15:10.000, 94 %, 95 %, 17672 MiB, 24564 MiB, 359.26 W
2026/03/08 00:15:11.000, 94 %, 95 %, 17672 MiB, 24564 MiB, 361.92 W
2026/03/08 00:15:12.001, 94 %, 95 %, 17672 MiB, 24564 MiB, 361.72 W
2026/03/08 00:15:13.001, 94 %, 95 %, 17672 MiB, 24564 MiB, 362.10 W
2026/03/08 00:15:14.002, 94 %, 95 %, 17672 MiB, 24564 MiB, 362.00 W
2026/03/08 00:15:15.002, 94 %, 95 %, 17672 MiB, 24564 MiB, 362.32 W
2026/03/08 00:15:16.002, 94 %, 95 %, 17672 MiB, 24564 MiB, 359.99 W
2026/03/08 00:15:17.003, 94 %, 95 %, 17672 MiB, 24564 MiB, 362.74 W
2026/03/08 00:15:18.003, 94 %, 95 %, 17672 MiB, 24564 MiB, 362.81 W
2026/03/08 00:15:19.004, 94 %, 95 %, 17672 MiB, 24564 MiB, 362.73 W
2026/03/08 00:15:20.004, 94 %, 95 %, 17672 MiB, 24564 MiB, 363.39 W
2026/03/08 00:15:21.004, 90 %, 90 %, 17672 MiB, 24564 MiB, 361.30 W
2026/03/08 00:15:22.005, 94 %, 95 %, 17672 MiB, 24564 MiB, 363.31 W
2026/03/08 00:15:23.005, 94 %, 95 %, 17672 MiB, 24564 MiB, 363.81 W
2026/03/08 00:15:24.005, 94 %, 95 %, 17672 MiB, 24564 MiB, 364.01 W
2026/03/08 00:15:25.005, 94 %, 95 %, 17672 MiB, 24564 MiB, 364.35 W
2026/03/08 00:15:26.006, 94 %, 95 %, 17672 MiB, 24564 MiB, 363.97 W
2026/03/08 00:15:27.006, 94 %, 95 %, 17672 MiB, 24564 MiB, 361.70 W
2026/03/08 00:15:28.006, 0 %, 0 %, 17672 MiB, 24564 MiB, 126.32 W
2026/03/08 00:15:29.007, 94 %, 95 %, 17672 MiB, 24564 MiB, 267.42 W
2026/03/08 00:15:30.007, 94 %, 95 %, 17672 MiB, 24564 MiB, 362.24 W
2026/03/08 00:15:31.007, 94 %, 95 %, 17672 MiB, 24564 MiB, 363.17 W
2026/03/08 00:15:32.008, 94 %, 95 %, 17672 MiB, 24564 MiB, 363.24 W
2026/03/08 00:15:33.008, 94 %, 95 %, 17672 MiB, 24564 MiB, 363.76 W
2026/03/08 00:15:34.008, 94 %, 95 %, 17672 MiB, 24564 MiB, 363.78 W
2026/03/08 00:15:35.009, 94 %, 95 %, 17672 MiB, 24564 MiB, 361.42 W
2026/03/08 00:15:36.009, 94 %, 95 %, 17672 MiB, 24564 MiB, 364.48 W
2026/03/08 00:15:37.010, 94 %, 95 %, 17672 MiB, 24564 MiB, 364.78 W
2026/03/08 00:15:38.010, 94 %, 95 %, 17672 MiB, 24564 MiB, 364.81 W
2026/03/08 00:15:39.010, 94 %, 95 %, 17672 MiB, 24564 MiB, 364.56 W
2026/03/08 00:15:40.010, 90 %, 90 %, 17672 MiB, 24564 MiB, 362.55 W
2026/03/08 00:15:41.011, 94 %, 95 %, 17672 MiB, 24564 MiB, 365.35 W
2026/03/08 00:15:42.011, 94 %, 95 %, 17672 MiB, 24564 MiB, 365.23 W
2026/03/08 00:15:43.011, 94 %, 95 %, 17672 MiB, 24564 MiB, 365.53 W
2026/03/08 00:15:44.012, 94 %, 95 %, 17672 MiB, 24564 MiB, 365.73 W
2026/03/08 00:15:45.012, 94 %, 95 %, 17672 MiB, 24564 MiB, 365.74 W
2026/03/08 00:15:46.013, 94 %, 95 %, 17672 MiB, 24564 MiB, 363.20 W
2026/03/08 00:15:47.013, 94 %, 95 %, 17672 MiB, 24564 MiB, 365.46 W
2026/03/08 00:15:48.013, 94 %, 95 %, 17672 MiB, 24564 MiB, 365.63 W
2026/03/08 00:15:49.013, 94 %, 95 %, 17672 MiB, 24564 MiB, 366.07 W
2026/03/08 00:15:50.014, 0 %, 0 %, 17672 MiB, 24564 MiB, 153.04 W
2026/03/08 00:15:51.014, 94 %, 95 %, 17672 MiB, 24564 MiB, 256.23 W
2026/03/08 00:15:52.014, 94 %, 95 %, 17672 MiB, 24564 MiB, 363.43 W
2026/03/08 00:15:53.015, 94 %, 95 %, 17672 MiB, 24564 MiB, 363.87 W
2026/03/08 00:15:54.015, 94 %, 95 %, 17672 MiB, 24564 MiB, 363.74 W
2026/03/08 00:15:55.015, 94 %, 95 %, 17672 MiB, 24564 MiB, 361.73 W
2026/03/08 00:15:56.016, 94 %, 95 %, 17672 MiB, 24564 MiB, 364.90 W
2026/03/08 00:15:57.016, 94 %, 95 %, 17672 MiB, 24564 MiB, 364.41 W
2026/03/08 00:15:58.017, 94 %, 95 %, 17672 MiB, 24564 MiB, 364.67 W
2026/03/08 00:15:59.017, 94 %, 95 %, 17672 MiB, 24564 MiB, 364.95 W
2026/03/08 00:16:00.017, 91 %, 91 %, 17672 MiB, 24564 MiB, 363.14 W
2026/03/08 00:16:01.018, 94 %, 95 %, 17672 MiB, 24564 MiB, 365.24 W
2026/03/08 00:16:02.018, 94 %, 95 %, 17672 MiB, 24564 MiB, 365.04 W
2026/03/08 00:16:03.018, 94 %, 95 %, 17672 MiB, 24564 MiB, 365.67 W
2026/03/08 00:16:04.019, 94 %, 95 %, 17672 MiB, 24564 MiB, 365.81 W
2026/03/08 00:16:05.019, 94 %, 94 %, 17672 MiB, 24564 MiB, 365.75 W
2026/03/08 00:16:06.019, 34 %, 35 %, 17672 MiB, 24564 MiB, 331.84 W
2026/03/08 00:16:07.020, 0 %, 0 %, 17672 MiB, 24564 MiB, 78.13 W
2026/03/08 00:16:08.041, 94 %, 95 %, 17672 MiB, 24564 MiB, 307.30 W
2026/03/08 00:16:09.042, 94 %, 95 %, 17672 MiB, 24564 MiB, 363.41 W
2026/03/08 00:16:10.042, 94 %, 95 %, 17672 MiB, 24564 MiB, 362.07 W
2026/03/08 00:16:11.042, 94 %, 95 %, 17672 MiB, 24564 MiB, 364.78 W
2026/03/08 00:16:12.042, 94 %, 95 %, 17672 MiB, 24564 MiB, 365.22 W
2026/03/08 00:16:13.043, 94 %, 95 %, 17672 MiB, 24564 MiB, 364.95 W
2026/03/08 00:16:14.043, 94 %, 95 %, 17672 MiB, 24564 MiB, 365.02 W
2026/03/08 00:16:15.043, 94 %, 95 %, 17672 MiB, 24564 MiB, 365.01 W
2026/03/08 00:16:16.044, 94 %, 95 %, 17672 MiB, 24564 MiB, 363.17 W
2026/03/08 00:16:17.044, 94 %, 95 %, 17672 MiB, 24564 MiB, 365.75 W
2026/03/08 00:16:18.044, 94 %, 95 %, 17672 MiB, 24564 MiB, 365.11 W
2026/03/08 00:16:19.045, 94 %, 95 %, 17672 MiB, 24564 MiB, 365.57 W
2026/03/08 00:16:20.045, 94 %, 95 %, 17672 MiB, 24564 MiB, 366.01 W
2026/03/08 00:16:21.045, 90 %, 90 %, 17672 MiB, 24564 MiB, 363.27 W
