2026/03/08 00:35:17.907, 0 %, 0 %, 3 MiB, 24564 MiB, 57.71 W
2026/03/08 00:35:18.914, 1 %, 0 %, 394 MiB, 24564 MiB, 67.87 W
2026/03/08 00:35:19.915, 0 %, 0 %, 394 MiB, 24564 MiB, 59.24 W
2026/03/08 00:35:20.915, 0 %, 0 %, 394 MiB, 24564 MiB, 52.02 W
2026/03/08 00:35:21.915, 96 %, 1 %, 15476 MiB, 24564 MiB, 56.13 W
2026/03/08 00:35:22.916, 96 %, 1 %, 15476 MiB, 24564 MiB, 68.41 W
2026/03/08 00:35:23.916, 0 %, 0 %, 20234 MiB, 24564 MiB, 67.76 W
2026/03/08 00:35:24.917, 0 %, 0 %, 21438 MiB, 24564 MiB, 85.24 W
2026/03/08 00:35:25.917, 0 %, 0 %, 21438 MiB, 24564 MiB, 84.39 W
2026/03/08 00:35:26.917, 0 %, 0 %, 21438 MiB, 24564 MiB, 66.05 W
2026/03/08 00:35:27.918, 0 %, 0 %, 21438 MiB, 24564 MiB, 59.00 W
2026/03/08 00:35:28.918, 0 %, 0 %, 21438 MiB, 24564 MiB, 52.10 W
2026/03/08 00:35:29.918, 0 %, 0 %, 21438 MiB, 24564 MiB, 52.06 W
2026/03/08 00:35:30.919, 0 %, 0 %, 21438 MiB, 24564 MiB, 51.93 W
2026/03/08 00:35:31.919, 0 %, 0 %, 21438 MiB, 24564 MiB, 51.87 W
2026/03/08 00:35:32.920, 0 %, 0 %, 21438 MiB, 24564 MiB, 51.93 W
2026/03/08 00:35:33.920, 0 %, 0 %, 21438 MiB, 24564 MiB, 51.91 W
2026/03/08 00:35:34.921, 0 %, 0 %, 21438 MiB, 24564 MiB, 51.88 W
2026/03/08 00:35:35.921, 0 %, 0 %, 21438 MiB, 24564 MiB, 52.01 W
2026/03/08 00:35:36.921, 0 %, 0 %, 21438 MiB, 24564 MiB, 52.10 W
2026/03/08 00:35:37.922, 0 %, 0 %, 21438 MiB, 24564 MiB, 52.03 W
2026/03/08 00:35:38.922, 0 %, 0 %, 21438 MiB, 24564 MiB, 52.05 W
2026/03/08 00:35:39.922, 0 %, 0 %, 21438 MiB, 24564 MiB, 52.14 W
2026/03/08 00:35:40.923, 0 %, 0 %, 21438 MiB, 24564 MiB, 52.10 W
