2026/03/07 23:24:20.073, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.96 W
2026/03/07 23:24:21.073, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.83 W
2026/03/07 23:24:22.074, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.66 W
2026/03/07 23:24:23.074, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.47 W
2026/03/07 23:24:24.074, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.47 W
2026/03/07 23:24:25.075, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.61 W
2026/03/07 23:24:26.075, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.74 W
2026/03/07 23:24:27.075, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.78 W
2026/03/07 23:24:28.076, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.76 W
2026/03/07 23:24:29.076, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.71 W
2026/03/07 23:24:30.077, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.61 W
2026/03/07 23:24:31.077, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.56 W
2026/03/07 23:24:32.077, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.47 W
2026/03/07 23:24:33.078, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.48 W
2026/03/07 23:24:34.078, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.62 W
2026/03/07 23:24:35.078, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.68 W
2026/03/07 23:24:36.079, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.63 W
2026/03/07 23:24:37.079, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.55 W
2026/03/07 23:24:38.079, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.56 W
2026/03/07 23:24:39.080, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.55 W
2026/03/07 23:24:40.080, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.49 W
2026/03/07 23:24:41.081, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.52 W
2026/03/07 23:24:42.081, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.56 W
2026/03/07 23:24:43.081, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.44 W
2026/03/07 23:24:44.082, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.53 W
2026/03/07 23:24:45.082, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.63 W
2026/03/07 23:24:46.083, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.65 W
2026/03/07 23:24:47.083, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.87 W
2026/03/07 23:24:48.083, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.80 W
2026/03/07 23:24:49.084, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.59 W
2026/03/07 23:24:50.084, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.59 W
2026/03/07 23:24:51.084, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.66 W
2026/03/07 23:24:52.085, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.73 W
2026/03/07 23:24:53.085, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.68 W
2026/03/07 23:24:54.085, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.65 W
2026/03/07 23:24:55.086, 0 %, 0 %, 18692 MiB, 24564 MiB, 4.59 W
2026/03/07 23:24:56.086, 92 %, 94 %, 18712 MiB, 24564 MiB, 150.99 W
2026/03/07 23:24:57.086, 91 %, 92 %, 18712 MiB, 24564 MiB, 325.17 W
2026/03/07 23:24:58.087, 94 %, 96 %, 18712 MiB, 24564 MiB, 327.07 W
2026/03/07 23:24:59.087, 94 %, 96 %, 18712 MiB, 24564 MiB, 330.24 W
2026/03/07 23:25:00.087, 94 %, 96 %, 18712 MiB, 24564 MiB, 330.80 W
2026/03/07 23:25:01.088, 94 %, 96 %, 18712 MiB, 24564 MiB, 332.66 W
2026/03/07 23:25:02.088, 94 %, 96 %, 18712 MiB, 24564 MiB, 333.70 W
2026/03/07 23:25:03.088, 91 %, 92 %, 18712 MiB, 24564 MiB, 330.76 W
2026/03/07 23:25:04.089, 94 %, 96 %, 18712 MiB, 24564 MiB, 331.80 W
