2026/03/08 00:25:41.584, 0 %, 0 %, 22478 MiB, 24564 MiB, 5.01 W
2026/03/08 00:25:42.584, 0 %, 0 %, 22478 MiB, 24564 MiB, 5.19 W
2026/03/08 00:25:43.584, 0 %, 0 %, 22478 MiB, 24564 MiB, 5.25 W
2026/03/08 00:25:44.585, 0 %, 0 %, 22478 MiB, 24564 MiB, 5.20 W
2026/03/08 00:25:45.585, 1 %, 0 %, 22496 MiB, 24564 MiB, 5.14 W
2026/03/08 00:25:46.624, 95 %, 42 %, 22496 MiB, 24564 MiB, 396.96 W
2026/03/08 00:25:47.624, 95 %, 42 %, 22500 MiB, 24564 MiB, 434.09 W
2026/03/08 00:25:48.625, 95 %, 41 %, 22510 MiB, 24564 MiB, 431.96 W
2026/03/08 00:25:49.625, 95 %, 40 %, 22520 MiB, 24564 MiB, 418.71 W
2026/03/08 00:25:50.625, 95 %, 39 %, 22528 MiB, 24564 MiB, 425.35 W
2026/03/08 00:25:51.626, 95 %, 39 %, 22538 MiB, 24564 MiB, 428.35 W
2026/03/08 00:25:52.626, 94 %, 38 %, 22546 MiB, 24564 MiB, 416.60 W
2026/03/08 00:25:53.627, 94 %, 38 %, 22556 MiB, 24564 MiB, 432.21 W
2026/03/08 00:25:54.627, 98 %, 39 %, 22564 MiB, 24564 MiB, 422.64 W
2026/03/08 00:25:55.627, 94 %, 37 %, 22572 MiB, 24564 MiB, 422.99 W
2026/03/08 00:25:56.628, 94 %, 36 %, 22580 MiB, 24564 MiB, 418.08 W
2026/03/08 00:25:57.628, 94 %, 36 %, 22588 MiB, 24564 MiB, 410.42 W
2026/03/08 00:25:58.628, 94 %, 35 %, 22596 MiB, 24564 MiB, 421.02 W
2026/03/08 00:25:59.629, 93 %, 35 %, 22604 MiB, 24564 MiB, 421.23 W
2026/03/08 00:26:00.629, 100 %, 38 %, 22612 MiB, 24564 MiB, 415.80 W
2026/03/08 00:26:01.630, 99 %, 38 %, 22620 MiB, 24564 MiB, 418.40 W
2026/03/08 00:26:02.630, 93 %, 33 %, 22628 MiB, 24564 MiB, 423.91 W
2026/03/08 00:26:03.630, 93 %, 33 %, 22634 MiB, 24564 MiB, 425.82 W
2026/03/08 00:26:04.631, 100 %, 37 %, 22642 MiB, 24564 MiB, 416.23 W
2026/03/08 00:26:05.631, 93 %, 32 %, 22650 MiB, 24564 MiB, 423.58 W
2026/03/08 00:26:06.635, 80 %, 28 %, 22656 MiB, 24564 MiB, 412.08 W
2026/03/08 00:26:07.635, 97 %, 34 %, 22664 MiB, 24564 MiB, 414.12 W
2026/03/08 00:26:08.636, 93 %, 31 %, 22670 MiB, 24564 MiB, 421.97 W
2026/03/08 00:26:09.636, 92 %, 31 %, 22678 MiB, 24564 MiB, 419.98 W
2026/03/08 00:26:10.636, 94 %, 33 %, 22684 MiB, 24564 MiB, 408.03 W
2026/03/08 00:26:11.637, 92 %, 31 %, 22690 MiB, 24564 MiB, 412.07 W
2026/03/08 00:26:12.638, 99 %, 33 %, 22698 MiB, 24564 MiB, 421.31 W
2026/03/08 00:26:13.638, 98 %, 32 %, 22704 MiB, 24564 MiB, 423.28 W
2026/03/08 00:26:14.638, 92 %, 30 %, 22710 MiB, 24564 MiB, 399.25 W
2026/03/08 00:26:15.639, 92 %, 29 %, 22716 MiB, 24564 MiB, 428.86 W
