ts,memory_used_mib,memory_free_mib,utilization_gpu_pct,power_w,temperature_c,error
1786935607.132093,3.0,24213.0,100.0,88.86,66.0,
1786935608.1515558,394.0,23823.0,0.0,83.18,65.0,
1786935609.1716228,394.0,23823.0,0.0,79.17,64.0,
1786935610.1920924,16796.0,7421.0,96.0,69.61,64.0,
1786935611.2128465,16796.0,7421.0,96.0,83.92,64.0,
1786935612.2334552,18144.0,6073.0,14.0,86.24,66.0,
1786935613.2570674,18546.0,5671.0,0.0,92.46,63.0,
1786935614.2784,18572.0,5645.0,72.0,156.04,73.0,
1786935615.3015559,18572.0,5645.0,91.0,420.04,76.0,
1786935616.327886,18572.0,5645.0,93.0,430.15,77.0,
1786935617.348415,18572.0,5645.0,92.0,424.96,77.0,
1786935618.4157403,18576.0,5641.0,88.0,327.35,76.0,
1786935619.436838,18576.0,5641.0,91.0,429.15,78.0,
1786935620.458633,18576.0,5641.0,87.0,429.62,78.0,
1786935621.4813519,18576.0,5641.0,91.0,432.98,77.0,
1786935622.5062342,18576.0,5641.0,92.0,433.81,79.0,
1786935623.5293276,18576.0,5641.0,92.0,432.18,78.0,
1786935624.5508735,18576.0,5641.0,92.0,430.28,79.0,
1786935625.5731344,18576.0,5641.0,92.0,434.26,78.0,
1786935626.5946236,18576.0,5641.0,92.0,434.55,80.0,
1786935627.6215267,18576.0,5641.0,92.0,429.2,80.0,
1786935628.6448016,18576.0,5641.0,91.0,435.01,79.0,
1786935629.6666856,18576.0,5641.0,92.0,435.17,80.0,
1786935630.6891103,18576.0,5641.0,90.0,431.33,80.0,
1786935631.7118313,18580.0,5637.0,61.0,330.1,77.0,
1786935632.7337306,18580.0,5637.0,92.0,430.95,80.0,
1786935633.7568324,18580.0,5637.0,91.0,436.64,78.0,
1786935634.7834067,18580.0,5637.0,93.0,433.69,80.0,
1786935635.8053432,18580.0,5637.0,92.0,436.35,80.0,
1786935636.8270173,18580.0,5637.0,92.0,438.88,81.0,
1786935637.8502095,18580.0,5637.0,92.0,432.87,81.0,
1786935638.8740742,18580.0,5637.0,91.0,434.54,80.0,
1786935639.9016047,18580.0,5637.0,93.0,435.59,79.0,
1786935640.9256496,18580.0,5637.0,92.0,434.89,81.0,
1786935641.9491613,18580.0,5637.0,91.0,436.19,80.0,
1786935642.9698365,18580.0,5637.0,92.0,436.28,80.0,
1786935643.9937117,18580.0,5637.0,91.0,432.14,80.0,
1786935645.0209768,18580.0,5637.0,92.0,435.59,81.0,
1786935646.0431385,18580.0,5637.0,87.0,433.65,81.0,
1786935647.065974,18580.0,5637.0,92.0,431.99,81.0,
1786935648.0902143,18580.0,5637.0,93.0,436.17,81.0,
1786935649.1187701,18580.0,5637.0,87.0,432.69,81.0,
1786935650.1420536,18580.0,5637.0,91.0,434.02,81.0,
1786935651.1661584,18580.0,5637.0,91.0,436.1,81.0,
1786935652.189204,18580.0,5637.0,91.0,432.47,81.0,
1786935653.215285,18580.0,5637.0,92.0,436.98,81.0,
1786935654.2384574,18580.0,5637.0,63.0,330.49,77.0,
1786935655.258291,18580.0,5637.0,92.0,311.64,79.0,
1786935656.2786207,18580.0,5637.0,92.0,438.73,81.0,
1786935657.2988536,18580.0,5637.0,22.0,362.92,71.0,
1786935658.3183315,18580.0,5637.0,93.0,407.97,81.0,
1786935659.3383255,18580.0,5637.0,94.0,438.41,81.0,
1786935660.358458,18580.0,5637.0,92.0,436.18,82.0,
1786935661.3799887,18580.0,5637.0,37.0,340.74,77.0,
1786935662.399012,18580.0,5637.0,91.0,417.01,81.0,
1786935663.4184334,18580.0,5637.0,94.0,440.18,81.0,
1786935664.4384778,18580.0,5637.0,92.0,437.07,82.0,
1786935665.4587798,18580.0,5637.0,92.0,438.75,81.0,
1786935666.478683,18580.0,5637.0,91.0,438.67,82.0,
1786935667.4968657,18580.0,5637.0,91.0,435.25,82.0,
1786935668.5161567,18580.0,5637.0,92.0,437.24,82.0,
1786935669.5360003,18580.0,5637.0,92.0,438.14,81.0,
1786935670.5560856,18580.0,5637.0,92.0,434.57,82.0,
