ts,memory_used_mib,memory_free_mib,utilization_gpu_pct,power_w,temperature_c,error
1786935919.0597947,3.0,24213.0,100.0,265.11,64.0,
1786935920.0794084,394.0,23823.0,0.0,80.94,63.0,
1786935921.0992684,394.0,23823.0,0.0,75.76,61.0,
1786935922.1200671,16796.0,7421.0,96.0,66.4,61.0,
1786935923.1393569,16796.0,7421.0,95.0,79.25,61.0,
1786935924.162456,21598.0,2619.0,2.0,77.08,60.0,
1786935925.185167,22664.0,1553.0,0.0,89.93,60.0,
1786935926.2038484,22686.0,1531.0,69.0,97.63,72.0,
1786935927.2237349,22694.0,1523.0,100.0,429.64,76.0,
1786935928.243812,22694.0,1523.0,95.0,438.67,77.0,
1786935929.2632966,22694.0,1523.0,93.0,436.58,78.0,
1786935930.2832558,22694.0,1523.0,96.0,442.49,79.0,
1786935931.3040242,22694.0,1523.0,100.0,431.47,79.0,
1786935932.324119,22694.0,1523.0,90.0,443.27,79.0,
1786935933.3495488,22694.0,1523.0,94.0,438.27,75.0,
1786935934.372375,22694.0,1523.0,90.0,433.91,79.0,
1786935935.3928428,22694.0,1523.0,96.0,439.64,80.0,
1786935936.4125538,22694.0,1523.0,100.0,441.6,80.0,
1786935937.4325597,22694.0,1523.0,100.0,439.27,80.0,
1786935938.4978259,22694.0,1523.0,100.0,431.73,80.0,
1786935939.5357473,22694.0,1523.0,90.0,436.24,80.0,
1786935940.5559397,22694.0,1523.0,90.0,435.19,80.0,
1786935941.5769036,22694.0,1523.0,90.0,432.78,80.0,
1786935942.5970943,22694.0,1523.0,91.0,428.91,81.0,
1786935943.617434,22694.0,1523.0,91.0,418.77,81.0,
1786935944.6361847,22694.0,1523.0,100.0,434.94,80.0,
1786935945.6970575,22694.0,1523.0,99.0,427.48,80.0,
1786935946.75865,22694.0,1523.0,93.0,432.72,73.0,
1786935947.7802105,22694.0,1523.0,99.0,433.64,81.0,
1786935948.8049479,22694.0,1523.0,99.0,434.7,82.0,
1786935949.8279748,22694.0,1523.0,97.0,434.08,80.0,
1786935950.847765,22694.0,1523.0,90.0,432.34,81.0,
1786935951.8687959,22694.0,1523.0,99.0,443.13,76.0,
1786935952.8890557,22694.0,1523.0,100.0,429.79,82.0,
1786935953.9094381,22694.0,1523.0,90.0,427.03,82.0,
1786935954.9340491,22694.0,1523.0,89.0,424.71,82.0,
1786935955.9564693,22694.0,1523.0,99.0,433.76,82.0,
1786935956.9777188,22694.0,1523.0,100.0,431.21,82.0,
1786935958.0031493,22694.0,1523.0,93.0,433.97,81.0,
1786935959.0256872,22694.0,1523.0,99.0,432.82,82.0,
1786935960.043746,22694.0,1523.0,88.0,364.63,76.0,
1786935961.0642564,22698.0,1519.0,36.0,210.58,74.0,
1786935962.0865483,22698.0,1519.0,67.0,299.72,67.0,
1786935963.1096416,22698.0,1519.0,62.0,233.7,74.0,
